file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qasmbench-large/square_root_n18.json,730,1874,730,1874,485,1730,323,1560
benchmarks/polyhedral/qasmbench-large/swap_test_n25.json,127,188,127,188,58,152,32,149
benchmarks/polyhedral/qasmbench-large/ising_n26.json,33,43,33,43,26,31,11,25
benchmarks/polyhedral/qasmbench-large/multiplier_n25.json,655,1118,655,1118,393,1047,300,996
benchmarks/polyhedral/qasmbench-large/qft_n20.json,346,425,346,425,233,426,137,308
benchmarks/polyhedral/qasmbench-large/bv_n19.json,34,61,34,61,23,52,12,35
benchmarks/polyhedral/qasmbench-large/dnn_n16.json,53,482,53,482,37,373,6,253
benchmarks/polyhedral/qasmbench-large/ghz_state_n23.json,35,52,35,52,18,40,12,35
benchmarks/polyhedral/qasmbench-large/cat_state_n22.json,36,51,36,51,18,35,14,35
benchmarks/polyhedral/qasmbench-large/wstate_n27.json,56,99,56,99,35,99,7,85
