file_path,sherbrooke_swaps_trivial,sherbrooke_depth_trivial,sherbrooke_swaps_default,sherbrooke_depth_default,ankaa_3_swaps_trivial,ankaa_3_depth_trivial,ankaa_3_swaps_default,ankaa_3_depth_default
benchmarks/polyhedral/qasmbench-medium/bv_n14.json,43,45,23,34,23,35,7,22
benchmarks/polyhedral/qasmbench-medium/qaoa_n6.json,17,138,10,157,17,138,7,155
benchmarks/polyhedral/qasmbench-medium/multiply_n13.json,51,86,19,68,30,73,16,51
benchmarks/polyhedral/qasmbench-medium/ising_n10.json,0,70,0,70,20,100,0,70
benchmarks/polyhedral/qasmbench-medium/qf21_n15.json,107,295,61,280,79,287,47,268
benchmarks/polyhedral/qasmbench-medium/multiplier_n15.json,176,405,117,360,128,344,100,344
benchmarks/polyhedral/qasmbench-medium/qpe_n9.json,27,108,14,101,37,109,15,106
benchmarks/polyhedral/qasmbench-medium/simon_n6.json,8,31,5,33,8,31,5,33
benchmarks/polyhedral/qasmbench-medium/seca_n11.json,47,153,27,89,error,error,error,error
benchmarks/polyhedral/qasmbench-medium/qft_n15.json,125,231,105,224,110,222,77,230
benchmarks/polyhedral/qasmbench-medium/dnn_n8.json,18,280,16,324,26,364,0,172
