file_path,depth,sherbrooke_256_swaps_trivial,sherbrooke_256_depth_trivial,sherbrooke_256_swaps_default,sherbrooke_256_depth_default
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_0.json,100,12800,22707,2324,17903,1837
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_1.json,100,12800,21848,2214,19584,2045
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_2.json,100,12800,23712,2313,21229,2177
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_3.json,100,12800,23989,2421,20367,2056
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_0.json,200,39683,3937
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_1.json,200,42059,4000
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_2.json,200,35784,3623
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_2.json,200,25600,35784,3623,39127,3943
benchmarks/polyhedral/queko-bss-256qbt/256QBT_800CYC_QSE_5.json,800,102400,119005,11794,124774,12510
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_1.json,700,89600,97361,9937,101447,10106
benchmarks/polyhedral/queko-bss-256qbt/256QBT_900CYC_QSE_8.json,900,115200,132535,12908,134663,13658
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_8.json,100,12800,23237,2322,19563,2001
benchmarks/polyhedral/queko-bss-256qbt/256QBT_600CYC_QSE_4.json,600,76800,89470,8797,93690,9364
benchmarks/polyhedral/queko-bss-256qbt/256QBT_900CYC_QSE_5.json,900,115200,112469,11410,128325,13033
benchmarks/polyhedral/queko-bss-256qbt/256QBT_900CYC_QSE_2.json,900,115200,132446,13258,133102,13105
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_6.json,700,89600,107869,10819,98379,10067
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_9.json,700,89600,99079,9834,109381,11062
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_5.json,400,51200,59955,5941,53320,5316
benchmarks/polyhedral/queko-bss-256qbt/256QBT_600CYC_QSE_6.json,600,76800,78621,8022,77527,8034
benchmarks/polyhedral/queko-bss-256qbt/256QBT_600CYC_QSE_0.json,600,76800,86021,8565,88016,8852
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_8.json,700,89600,97299,10073,104158,10315
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_8.json,500,64000,78053,7635,64996,6498
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_7.json,700,89600,96975,10044,90118,9437
benchmarks/polyhedral/queko-bss-256qbt/256QBT_900CYC_QSE_7.json,900,115200,122021,12269,138273,13370
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_2.json,300,38400,51568,5097,49332,4930
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_6.json,200,25600,40236,3929,35510,3567
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_2.json,700,89600,102615,9958,95432,9687
benchmarks/polyhedral/queko-bss-256qbt/256QBT_900CYC_QSE_3.json,900,115200,140105,14304,101632,10278
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_1.json,300,38400,48632,4928,48718,5042
benchmarks/polyhedral/queko-bss-256qbt/256QBT_800CYC_QSE_3.json,800,102400,118073,11806,112820,11224
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_6.json,300,38400,59000,5824,48697,4929
benchmarks/polyhedral/queko-bss-256qbt/256QBT_700CYC_QSE_0.json,700,89600,109456,10867,93350,9272
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_0.json,500,64000,76459,7705,65376,6655
benchmarks/polyhedral/queko-bss-256qbt/256QBT_800CYC_QSE_1.json,800,102400,109558,11144,115673,11477
benchmarks/polyhedral/queko-bss-256qbt/256QBT_800CYC_QSE_9.json,800,102400,112686,11484,106430,11149
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_0.json,400,51200,62071,6155,65011,6562
benchmarks/polyhedral/queko-bss-256qbt/256QBT_600CYC_QSE_3.json,600,76800,100770,9949,83101,8425
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_4.json,500,64000,85634,8549,88605,8914
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_4.json,100,12800,24290,2340,18295,1812
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_6.json,400,51200,63887,6340,62762,6184
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_8.json,200,25600,37008,3759,34933,3496
benchmarks/polyhedral/queko-bss-256qbt/256QBT_800CYC_QSE_4.json,800,102400,107195,10796,95281,9691
benchmarks/polyhedral/queko-bss-256qbt/256QBT_600CYC_QSE_8.json,600,76800,88485,8889,90664,9317
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_9.json,500,64000,75890,7521,71728,7213
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_7.json,200,25600,39546,4072,34249,3469
benchmarks/polyhedral/queko-bss-256qbt/256QBT_900CYC_QSE_9.json,900,115200,126032,12451,124184,12392
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_6.json,500,64000,64432,6455,75004,7582
benchmarks/polyhedral/queko-bss-256qbt/256QBT_800CYC_QSE_2.json,800,102400,116859,11333,100689,10158
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_4.json,400,51200,63599,6367,63042,6271
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_1.json,500,64000,69717,6929,72490,7410
benchmarks/polyhedral/queko-bss-256qbt/256QBT_100CYC_QSE_2.json,100,12800,23712,2313,21229,2177
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_4.json,200,25600,37877,3693,33029,3296
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_0.json,300,38400,47451,4689,48290,5004
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_2.json,400,51200,72699,7184,64341,6612
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_7.json,400,51200,69332,6887,64242,6367
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_3.json,400,51200,60622,5862,59817,5892
benchmarks/polyhedral/queko-bss-256qbt/256QBT_500CYC_QSE_2.json,500,64000,80362,8222,84855,8411
benchmarks/polyhedral/queko-bss-256qbt/256QBT_200CYC_QSE_5.json,200,25600,40408,4038,35668,3715
benchmarks/polyhedral/queko-bss-256qbt/256QBT_300CYC_QSE_9.json,300,38400,51834,5108,44956,4556
benchmarks/polyhedral/queko-bss-256qbt/256QBT_400CYC_QSE_8.json,400,51200,64530,6546,61541,6076
