cycle,index,qops,qbt,swaps,depth,time
100,0,12800,256,19683,1640,1033.4912314414978
100,1,12800,256,19423,1580,1003.0063796043396
100,2,12800,256,21038,1714,1100.815191745758
100,3,12800,256,19957,1694,1023.4607162475586
200,0,25600,256,34659,3303,1277.1582615375519
200,1,25600,256,32027,3093,1143.3072378635406
200,2,25600,256,35188,3372,1287.434086561203
200,3,25600,256,37017,3683,1317.2788484096527
300,0,38400,256,48324,5118,1503.1757357120514
300,1,38400,256,45599,4623,1295.654848575592
300,2,38400,256,50253,5395,1419.2841572761536
300,3,38400,256,46307,5223,1210.0762810707092
400,0,51200,256,61916,6808,1554.3421306610107
400,1,51200,256,64970,6759,1678.730469942093
400,2,51200,256,61173,6605,1503.1116616725922
400,3,51200,256,57126,6978,1446.3633484840393
500,0,64000,256,65709,7142,1556.2309696674347
500,1,64000,256,73322,8191,1718.1103537082672
500,2,64000,256,70856,8145,1666.4174978733063
500,3,64000,256,72197,7955,1642.9452631473541
600,0,76800,256,89801,10564,1900.4481914043427
600,1,76800,256,94357,11283,1819.9316020011902
600,2,76800,256,73578,8530,1401.742642879486
600,3,76800,256,78239,9167,1555.1120529174805
700,0,89600,256,84509,10054,1554.52378988266
700,1,89600,256,90426,10936,1743.0759637355804
700,2,89600,256,97190,11135,1802.8556971549988
700,3,89600,256,95734,11178,1863.5576179027557
800,0,102400,256,97308,12211,1610.6288537979126
800,1,102400,256,95988,11517,1653.7544901371002
800,2,102400,256,114899,13239,2102.9108593463898
800,3,102400,256,99538,11803,1654.3179397583008
900,0,115200,256,111245,14395,1903.064569234848
900,1,115200,256,95283,11287,1561.045336484909
900,2,115200,256,124011,15918,2047.7746233940125
900,3,115200,256,120972,15468,1890.7495465278625
