file_index,orig_single_trial,orig_multi_trial,poly_tcTrue_trTrue_decay,poly_tcTrue_trTrue_single-decay,poly_tcTrue_trTrue_poly-paths,poly_tcTrue_trFalse_decay,poly_tcTrue_trFalse_single-decay,poly_tcTrue_trFalse_poly-paths,poly_tcFalse_trTrue_decay,poly_tcFalse_trTrue_single-decay,poly_tcFalse_trTrue_poly-paths,poly_tcFalse_trFalse_decay,poly_tcFalse_trFalse_single-decay,poly_tcFalse_trFalse_poly-paths
0,147,135,181,345,820,144,349,808,181,168,424,144,174,424
1,105,103,114,265,187,109,321,187,114,110,157,109,114,157
2,113,100,98,349,312,100,266,308,98,114,165,100,112,165
3,119,105,108,331,399,109,312,395,108,105,221,109,107,221
4,121,120,123,273,399,123,422,399,123,113,341,123,124,341
5,140,126,160,344,491,125,345,444,160,136,286,125,155,286
6,112,109,117,292,533,113,328,587,117,137,364,113,129,364
7,105,101,103,253,485,102,345,376,103,98,378,102,155,378
8,107,101,108,305,396,109,329,364,108,120,310,109,129,310
9,118,118,112,347,423,120,312,290,112,116,232,120,137,232
